"question","reponse","gouvernement"
"Peut-on choisir la scène (pièce) chargée au début de la visite ?","Oui, on peut choisir la première scène et la direction initiale de la vue.
Un visiteur peut copier 2 types de liens , un pour la page de garde, l'autre contenant les coordonnées de sa position et sa direction de vue. Le second lien ouvre la visite avec les mêmes coordonnées, sans passer par la page de garde.","0"
"Comment obtenir le classement ou l'inscription d'un monument ?","La protection au titre des monuments historiques n’est pas un label mais un dispositif législatif d’utilité publique basé sur des principes d’analyse scientifique. L’intérêt patrimonial d’un bien s’évalue en examinant un ensemble de critères historiques, artistiques, scientifiques et techniques. Les notions de rareté, d’exemplarité et d’intégrité des biens sont prises en compte.
La demande de protection peut émaner du propriétaire du bien, de son affectataire ou de toute personne y ayant intérêt (collectivité territoriale, association de défense du patrimoine...). L’initiative de la protection peut aussi être prise par les services de l’État.
Le préfet de région pour les immeubles fait constituer un dossier de recensement et consulte la commission régionale du patrimoine et des sites (CRPS). Cette instance consultative est composée d’experts, de membres d’associations, d’élus et de membres du service des monuments historiques. La CRPS est dotée d’une délégation permanente qui préexamine les demandes.
La CRPS peut émettre un avis défavorable à toute protection de l’immeuble, un avis favorable à son inscription ou un avis favorable à son classement au titre des monuments historiques. Cet avis est consultatif. Le préfet de région peut refuser la demande de protection, prendre un arrêté d’inscription au titre des monuments historiques ou transmettre le dossier à l’administration centrale en cas de proposition de classement. Le ministre chargé de la culture consulte alors la Commission nationale des monuments historiques (CNMH), qui propose à son tour une décision de maintien à l’inscription ou une décision de classement au titre des monuments historiques. Dans certains cas exceptionnels, le ministre peut engager la procédure de classement d’office qui est prononcé par décret du Premier ministre après avis du Conseil d’État
Pour tous renseignements et toutes demandes, vous devez contacter la DRAC (Direction régionale des affaires culturelles) de votre région :
Accéder aux sites des DRAC","1"
"Quels sont les contrats aidés qui existent aujourd'hui ?","Un contrat aidé permet à l'employeur de bénéficier d'aides pour diminuer le coût de l'embauche et/ou de formation (par exemple : aide de l'État notamment pour une
entreprise adaptée
employant au moins
55 %
de travailleurs handicapés, exonération de cotisations patronales, aides à la formation).
Ce type de contrat est en général réservé à des personnes qui ont des difficultés pour accéder à l'emploi. Par exemple : personne percevant le
revenu de solidarité active (RSA)
, jeune, sénior, personne en situation de handicap, demandeur d'emploi de longue ou de très longue durée, personne percevant l'
allocation de solidarité spécifique (ASS)
, personne de plus de 50 ans sans emploi.","1"
"Un avocat peut-il exiger de l'argent d'un bénéficiaire d'aide juridictionnelle ?","Oui, votre avocat peut vous réclamer des honoraires en dehors de la contribution qui lui est versée dans le cadre de
l'aide juridictionnelle totale ou partielle
.
Les règles applicables varient suivant que les honoraires réclamés correspondent à une activité réalisée par l'avocat avant votre demande d'aide juridictionnelle ou après que l'aide vous a été accordée.
L'avocat a le droit de vous réclamer le paiement des frais qu'il a engagés pour assurer votre défense avant le dépôt de votre demande de l'aide juridictionnelle ou avant que l'aide vous soit accordée.
Le droit de l'avocat à percevoir des honoraires en plus de la contribution de l'aide juridictionnelle varie suivant que vous ayez obtenu l'aide juridictionnelle partielle ou l'aide juridictionnelle totale.
Lorsque vous obtenez l'
aide juridictionnelle partielle
, l'avocat a le
droit
de vous demander des
honoraires
complément
aires
en plus de la contribution qui lui sera versée dans le cadre de l'aide juridictionnelle.
Ces honoraires complémentaires sont
librement négociés
entre vous et l'avocat et ils doivent faire l'objet d'une
convention écrite préalable à l'intervention de l'avocat
.
La convention doit fixer le
montant et les modalités de paiement
des honoraires complémentaires, en tenant compte des éléments suivants :
La convention doit rappeler le montant de la
part contributive de l' État
et indiquer les
voies de recours
que vous pouvez exercer en cas de contestation.
L'avocat doit communiquer la convention dans les 15 jours de sa signature au bâtonnier du barreau dont il relève, pour que le bâtonnier contrôle sa
régularité
ainsi que le
montant
du complément d'honoraires.
Mais si la justice vous octroie
d'importants
dommages-intérêts
et que le bureau de l'aide juridictionnelle vous
retire l'aide
accordée, l'avocat pourra vous
demander
des honoraires.
Ces honoraires sont facturés en raison de l'augmentation de vos revenus.
Ils servent à rémunérer les prestations effectuées par l'avocat et ne constituent pas des
honoraires de résultat
.
L'avocat peut vous réclamer des honoraires si les 4 conditions suivantes sont toutes réunies :
L'avocat peut vous
proposer
de signer une
convention préalable
qui fixe le
montant et les modalités de paiement
des honoraires qu'il peut demander si l'aide juridictionnelle vous est retirée.
Si vous avez signé ce type de convention, l'avocat peut vous réclamer les honoraires prévus dès le retrait de l'aide juridictionnelle.
Si vous n'avez pas signé ce type de convention, l'avocat doit saisir le juge après le retrait de l'aide juridictionnelle pour lui demander de fixer le montant de ses honoraires.
En cas de litige sur les honoraires, vous pouvez
saisir le médiateur de la consommation ou le bâtonnier du barreau dont dépend l'avocat
.
Lorsque vous obtenez l'aide
juridictionnelle totale
, l'avocat
n'a pas le droit
de vous réclamer d'autre rémunération
en plus
de la contribution qui lui sera versée par l'Etat.
Mais si la justice vous octroie
d'importants
dommages-intérêts
et que le bureau de l'aide juridictionnelle vous
retire l'aide
accordée, l'avocat pourra vous
demander
des honoraires.
Ces honoraires sont facturés en raison de l'augmentation de vos revenus.
Ils servent à rémunérer les prestations effectuées par l'avocat et ne constituent pas des
honoraires de résultat
.
L'avocat peut vous réclamer des honoraires si les 4 conditions suivantes sont toutes réunies :
L'avocat peut vous
proposer
de signer une
convention préalable
qui fixe le
montant et les modalités de paiement
des honoraires qu'il peut demander si l'aide juridictionnelle vous est retirée.
Si vous avez signé ce type de convention, l'avocat peut vous réclamer les honoraires prévus dès le retrait de l'aide juridictionnelle.
Si vous n'avez pas signé ce type de convention, l'avocat doit saisir le juge après le retrait de l'aide juridictionnelle pour lui demander de fixer le montant de ses honoraires.
En cas de litige sur les honoraires, vous pouvez
saisir le médiateur de la consommation ou le bâtonnier du barreau dont dépend l'avocat
.
Pour plus d'informations sur ce sujet, vous pouvez contacter Allô Service Public.
Attention : le service n'a pas accès aux dossiers personnels des usagers et ne peut donc pas renseigner sur leur état d'avancement.
Les informateurs qui vous répondent appartiennent au ministère de la justice.","1"
"Comment modifier l’affichage des annonces dans la liste des résultats ?","Dans quels cas peut-on modifier l’affichage des annonces ?La modification de l’affichage dans la liste des résultats est possible :Depuis l’application mobile (iOS ou Android).Pour toutes les catégories de recherche sauf Emploi et Vacances (sur Android) et Emploi, Immobilier et Véhicules (iOS).Marche à suivre pour modifier l’affichageEffectuez une recherche.Dans la liste des filtres, sélectionnez “Vue” :Vous pouvez choisir le format liste ou galerie :","0"
"Comment effectuer le rendu, sur une carte, des fichiers KML hébergés sur des sites intranet ?","La classe KmlLayer qui génère les superpositions KML dans l'API Maps JavaScript utilise un service hébergé par Google pour récupérer et analyser les fichiers KML aux fins du rendu. Par conséquent, il n'est pas possible d'afficher les fichiers KML qui ne sont pas hébergés à une adresse URL accessible publiquement, ou dont l'accès nécessite une authentification.
Pour développer des applications qui utilisent des fichiers KML hébergés sur des sites intranet, nous vous recommandons d'effectuer le rendu du fichier KML côté client en utilisant des bibliothèques JavaScript tierces. L'analyse du fichier KML par le navigateur peut être moins performante qu'en utilisant la classe KmlLayer .","0"
"Peut-on revenir sur le partage des biens après un divorce ?","Plusieurs situations peuvent se présenter :
Vous avez le droit de partager vos biens de manière inégale. Par exemple, vous avez pu recevoir 1/3 des biens et votre ex-époux 2/3.
Cependant, si vous avez été lésé de plus d'1/4, vous pouvez demander un
complément de part
. Par exemple, si un des biens partagés a été sous-évalué. La valeur dont vous avez été lésée peut vous être accordée en
numéraire
: titleContent
ou en nature (par exemple appartement, terrain).
Pour déterminer si vous avez été lésé, il faut examiner la valeur des biens
au moment du partage
, et non pas leur valeur actuelle.
L'action en complément de part n'est pas possible si le partage a été
homologué
: titleContent
ou prononcé en justice par un
Jaf
: titleContent
(par exemple en cas de
divorce par consentement mutuel
judiciaire).
Vous ou votre ex-époux avez pu oublier de faire figurer un bien dans l'acte de partage.
Dans ce cas, vous pouvez faire une demande de
partage complémentaire
portant seulement sur ce bien, même si ce bien est de faible valeur.
Votre demande n'est soumise à aucun délai de
prescription
: titleContent
. Elle peut être faite à tout moment.
Si votre ex-époux a détourné ou dissimulé
intentionnellement
un bien afin de rompre l'égalité du partage, on parle de
recel de communauté
.
Par exemple, votre ex-époux ne déclare pas des actions, vend un bien commun à un prix inférieur à sa valeur réelle et conserve la différence pour lui.
Il y a recel de communauté si le bien détourné est un
bien commun
: titleContent
. Tel est le cas pour un bien acquis pendant votre mariage si votre régime matrimonial est celui de la
communauté réduite aux acquêts
.
Il n'y a pas de recel de communauté sur des
biens indivis
: titleContent
. Tel est par exemple le cas si vous êtes mariés sous le régime de la séparation de biens dans lequel il n'y a pas de biens communs.
Si vous estimez être victime d'un recel, c'est à vous d'apporter la
preuve
de ce recel.
Le bien recélé par votre ex-époux auteur du fait lui est retiré et vous est attribué intégralement. Si le bien n'appartient plus à l'ex-époux auteur du recel, la restitution peut se faire en valeur.
Vous pouvez également demander des
dommages et intérêts
: titleContent
à votre ex-époux pour la réparation des préjudices supplémentaires causés par le recel.
Un ex-époux peut invoquer la
nullité
: titleContent
du partage
pour cause de
vice du consentement
, c'est-à-dire en cas de
dol
: titleContent
, de
violence
: titleContent
ou
d'erreur
.
Il y a dol lorsqu'un ex-époux a obtenu le consentement de l'autre par des
manœuvres
ou des
mensonges
.
Il y a également dol lorsqu'un ex-époux a
dissimulé intentionnellement une information importante
pour l'autre ex-époux.
L'ex-époux qui souhaite faire valoir ce vice du consentement doit agir dans un délai de
5 ans.
La
prescription
: titleContent
court à compter du jour où l'ex-époux découvre le dol.
La
violence
: titleContent
d'un ex-époux est un vice du consentement si l'acte a entraîné chez l'autre ex-époux un préjudice dans le partage des biens.
C'est le cas par exemple si
un ex-époux a été amené à s'engager ou à renoncer à un droit
en raison du comportement menaçant de l'autre ex-époux.
L'ex-époux qui souhaite faire valoir ce vice du consentement doit agir dans un délai de
5 ans
.
La
prescription
: titleContent
court à compter du jour où la violence a cessé.
Un ex-époux peut demander la nullité du partage en cas d'erreur portant sur l'existence ou la quote-part des droits des époux.
La nullité peut aussi être invoquée par un ex-époux en cas d'erreur sur la propriété des biens à partager (par exemple, un bien d'abord considéré comme propre s'avère être un bien commun).
L'ex-époux qui souhaite faire valoir l'erreur doit agir dans un délai de
5 ans
.
La
prescription
: titleContent
court à compter du jour où l'époux découvre l'erreur.
Vous pouvez tenter une
résolution amiable
auprès d'un
notaire
, en particulier si vous souhaitez demander un complément de part ou si un bien a été oublié lors du partage,
En cas de
désaccord
, en particulier lorsque le partage est affecté par un vice du consentement ou qu'il y a un recel de communauté, vous devez
saisir le juge judiciaire
.
Le tribunal judiciaire à saisir est celui du domicile du
défendeur
: titleContent
.
Vous devez
obligatoirement
prendre un
avocat
pour faire cette procédure.
Le tribunal doit être saisi par une
assignation
: titleContent
rédigée par votre avocat.
Si vos ressources sont insuffisantes, vous pouvez demander à bénéficier de
l'aide juridictionnelle
pour prendre en charge tout ou partie de vos frais d'avocat.
Pour plus d'informations sur ce sujet, vous pouvez contacter Allô Service Public.
Attention : le service n'a pas accès aux dossiers personnels des usagers et ne peut donc pas renseigner sur leur état d'avancement.
Les informateurs qui vous répondent appartiennent au ministère de la justice.
Juge aux affaires familiales
Paiement en argent, qui peut être sous forme d'espèces, de chèques, de virements, etc.
Approbation d'un acte ou d'une convention par le juge
Temps pendant lequel une action en justice peut être introduite
Meuble ou immeuble dont la propriété est partagée entre les époux. Les époux soumis au régime légal de la communauté réduite aux acquêts constituent des biens communs dès lors qu'un achat est réalisé par l'un des époux.
Bien possédé en commun par plusieurs personnes
Somme d'argent destinée à réparer le préjudice subi
Annulation d'un acte ou d'une procédure
Manœuvre mensongère dans le but d'obtenir le consentement d'une autre personne
Acte intentionnel ou non provoquant chez la victime un trouble physique ou moral comportant des conséquences dommageables pour sa personne, ses proches ou leurs biens
Expiration d'un droit après un certain délai.
Personne contre laquelle une action en justice est engagée
Acte du commissaire de justice (anciennement acte d'huissier de justice) informant une personne qu'un procès est engagé contre elle et la convoquant devant une juridiction","1"
"Bail d'habitation : peut-on envoyer son congé (préavis) par mail ?","Vous
ne pouvez pas
donner votre préavis (ou
votre congé
) par un simple mail. Un préavis donné de cette façon n'est pas valide, même s'il est accepté par retour de mail par son destinataire.
Mais vous pouvez
donner votre préavis (ou
votre congé
)
par une
lettre recommandée électronique (LRE)
. Un préavis donné de cette façon est valide, à la condition que, si son destinataire est un particulier, il ait préalablement accepté ce mode d'envoi.
Pour plus d'informations sur ce sujet, vous pouvez contacter Allô Service Public.
Attention : le service n'a pas accès aux dossiers personnels des usagers et ne peut donc pas renseigner sur leur état d'avancement.
Les informateurs qui vous répondent appartiennent au ministère en charge du logement et de l'urbanisme.","1"
"Prime de précarité : un contractuel de la fonction publique y a-t-il droit ?","Les règles diffèrent selon que vous dépendez de la fonction publique d'État (FPE) ou territoriale (FPT) ou hospitalière (FPH).
Vous pouvez bénéficier de l'indemnité de fin de contrat si vous avez été
recruté après le 1
er
janvier 2021
pour
l'un des motifs suivants
:
Pour que l'indemnité de fin de contrat soit accordée, les
2 conditions
suivantes doivent être remplies :
La rémunération brute globale moyenne est la somme des rémunérations mensuelles, que vous avez perçues au cours de votre période d'emploi, divisée par votre nombre de mois de contrats.
La rémunération brute globale comprend l'ensemble de vos traitements bruts ainsi que vos primes et indemnités, sauf les remboursements de frais professionnels et les prestations d'action sociale, individuelles ou collectives, dont vous avez bénéficié.
L'indemnité de fin de contrat
n'est pas versée
dans les
cas suivants
:
Tout délai de carence
entre votre contrat initial et votre nouveau contrat dans la fonction publique d’État
vous permet de bénéficier
du versement de l'indemnité de fin de contrat au titre de votre contrat initial.
Cas n°1 :
vous bénéficiez d'un CDD d'une durée inférieure à 1 an dans un ministère X et bénéficiez ensuite d'un
CDD égal ou supérieur à un an ou d'un CDI dans une autre administration de la fonction publique d’État, sans délai de carence
: vous ne bénéficiez pas de l'indemnité de fin de contrat au titre de votre contrat avec le ministère X
Cas n°2 :
vous bénéficiez d'un CDD d'une durée inférieure à 1 an dans un ministère X et bénéficiez ensuite d'un CDD quelle que soit sa durée, ou d'un CDI, dans une autre administration de la fonction publique d'État,
avec un délai de carence
supérieur ou égal à 1 jour : vous bénéficiez de l'indemnité de fin de contrat au titre de votre contrat avec le ministère X
Cas n°3 :
vous bénéficiez d'un CDD d'une durée inférieure à 1 an dans un ministère X et bénéficiez ensuite d'un CDD quelle que soit sa durée, ou d'un CDI,
dans une autre administration de la fonction publique territoriale ou hospitalière
sans délai de carence : vous bénéficiez de l'indemnité de fin de contrat au titre de votre contrat avec le ministère X
Si vous refusez un CDD supérieur à 1 an ou un CDI sur des fonctions différentes avec une rémunération qui n'est pas au moins équivalente à votre contrat précédent, vous bénéficiez de l'indemnité de fin de contrat.
En revanche, si vous refusez un CDD supérieur à 1 an ou un CDI sur des fonctions équivalentes avec une rémunération au moins équivalente à votre contrat précédent, vous ne bénéficiez pas de l'indemnité de fin de contrat.
Vous ne pouvez pas non plus percevoir la prime de précarité si votre contrat prend fin pour l'un des motifs suivants :
Le montant de l'indemnité de fin de contrat est fixé à
10 %
de votre
rémunération brute globale
perçue pendant la durée de votre contrat, renouvellement inclus.
La rémunération brute globale comprend le traitement indiciaire, le complément de traitement indiciaire, l’indemnité de résidence, le supplément familial de traitement et les primes et indemnités.
Elle ne comprend pas l’indemnité compensatrice de congés payés, ni les remboursements de frais professionnels.
L’indemnité de fin de contrat est soumise à l’ensemble des
cotisations et contributions sociales
. Elle est imposable sur le revenu.
L'indemnité est versée au plus tard 1 mois après la fin du contrat.
Vous pouvez bénéficier de l'indemnité de fin de contrat si vous avez été
recruté après le 1
er
janvier 2021
pour
l'un des motifs suivants
:
Pour que l'indemnité de fin de contrat soit accordée, les 2 conditions suivantes doivent être remplies :
La rémunération brute globale moyenne est la somme des rémunérations mensuelles, que vous avez perçues au cours de votre période d'emploi, divisée par votre nombre de mois de contrats.
La rémunération brute globale comprend l'ensemble de vos traitements bruts ainsi que vos primes et indemnités, sauf les remboursements de frais professionnels et les prestations d'action sociale, individuelles ou collectives, dont vous avez bénéficié.
L'indemnité de fin de contrat
n'est pas versée
dans les
cas suivants
:
Tout délai de carence
entre votre contrat initial et votre nouveau contrat dans la fonction publique territoriale
vous permet de bénéficier
du versement de l'indemnité de fin de contrat au titre de votre contrat initial.
Cas n°1 :
vous bénéficiez d'un CDD d'une durée inférieure à 1 an dans une collectivité X et bénéficiez ensuite d'un
CDD égal ou supérieur à un an ou d'un CDI dans une autre collectivité de la fonction publique territoriale, sans délai de carence
: vous ne bénéficiez pas de l'indemnité de fin de contrat au titre de votre contrat avec la collectivité X
Cas n°2 :
vous bénéficiez d'un CDD d'une durée inférieure à 1 an dans une collectivité X et bénéficiez ensuite d'un CDD quelle que soit sa durée, ou d'un CDI, dans une autre collectivité de la fonction publique territoriale,
avec un délai de carence
supérieur ou égal à 1 jour : vous bénéficiez de l'indemnité de fin de contrat au titre de votre contrat avec la collectivité X
Cas n°3 :
vous bénéficiez d'un CDD d'une durée inférieure à 1 an dans une collectivité X et bénéficiez ensuite d'un CDD quelle que soit sa durée, ou d'un CDI,
dans une autre administration de la fonction publique d’État ou hospitalière
sans délai de carence : vous bénéficiez de l'indemnité de fin de contrat au titre de votre contrat avec la collectivité X
Si vous refusez un CDD supérieur à 1 an ou un CDI sur des fonctions différentes avec une rémunération qui n'est pas au moins équivalente à votre contrat précédent, vous bénéficiez de l'indemnité de fin de contrat.
En revanche, si vous refusez un CDD supérieur à 1 an ou un CDI sur des fonctions équivalentes avec une rémunération au moins équivalente à votre contrat précédent, vous ne bénéficiez pas de l'indemnité de fin de contrat.
Vous ne pouvez pas non plus percevoir la prime de précarité si votre contrat prend fin pour l'un des motifs suivants :
Le montant de l'indemnité de fin de contrat est fixé à
10 %
de votre
rémunération brute globale
perçue pendant la durée de votre contrat, renouvellement inclus.
La rémunération brute globale comprend le traitement indiciaire, le complément de traitement indiciaire, l’indemnité de résidence, le supplément familial de traitement et les primes et indemnités.
Elle ne comprend pas l’indemnité compensatrice de congés payés, ni les remboursements de frais professionnels.
L’indemnité de fin de contrat est soumise à l’ensemble des
cotisations et contributions sociales
. Elle est imposable sur le revenu.
L'indemnité est versée au plus tard 1 mois après la fin du contrat.
Vous pouvez bénéficier de l'indemnité de fin de contrat si vous avez été
recruté à partir du 1
er
janvier 2021
pour
l'un des motifs suivants
:
Pour que l'indemnité de fin de contrat soit accordée, les
2 conditions
suivantes doivent être remplies :
La rémunération brute globale moyenne est la somme des rémunérations mensuelles, que vous avez perçues au cours de votre période d'emploi, divisée par votre nombre de mois de contrats.
La rémunération brute globale comprend l'ensemble de vos traitements bruts ainsi que vos primes et indemnités, sauf les remboursements de frais professionnels et les prestations d'action sociale, individuelles ou collectives, dont vous avez bénéficié.
L'indemnité de fin de contrat
n'est pas versée
dans les cas suivants :
Tout délai de carence
entre votre contrat initial et votre nouveau contrat dans la fonction publique hospitalière
vous permet de bénéficier
du versement de l'indemnité de fin de contrat au titre de votre contrat initial.
Cas n°1 :
vous bénéficiez d'un CDD d'une durée inférieure à 1 an dans un établissement X et bénéficiez ensuite d'un
CDD égal ou supérieur à un an ou d'un CDI
dans un autre établissement de la fonction publique hospitalière, sans délai de carence : vous ne bénéficiez pas de l'indemnité de fin de contrat au titre de votre contrat avec l'établissement X
Cas n°2 :
vous bénéficiez d'un CDD d'une durée inférieure à 1 an dans un établissement X et bénéficiez ensuite d'un CDD quelle que soit sa durée, ou d'un CDI, dans un autre établissement de la fonction publique hospitalière,
avec un délai de carence
supérieur ou égal à 1 jour : vous bénéficiez de l'indemnité de fin de contrat au titre de votre contrat avec l'établissement X
Cas n°3 :
vous bénéficiez d'un CDD d'une durée inférieure à 1 an dans un un établissement X et bénéficiez ensuite d'un CDD quelle que soit sa durée, ou d'un CDI,
dans une autre administration de la fonction publique d’État ou territoriale
sans délai de carence : vous bénéficiez de l'indemnité de fin de contrat au titre de votre contrat avec l'établissement X
Si vous refusez un CDD supérieur à 1 an ou un CDI sur des fonctions différentes avec une rémunération qui n'est pas au moins équivalente à votre contrat précédent, vous bénéficiez de l'indemnité de fin de contrat.
En revanche, si vous refusez un CDD supérieur à 1 an ou un CDI sur des fonctions équivalentes avec une rémunération au moins équivalente à votre contrat précédent, vous ne bénéficiez pas de l'indemnité de fin de contrat.
Vous ne pouvez pas non plus percevoir la prime de précarité si votre contrat prend fin pour l'un des motifs suivants :
Le montant de l'indemnité de fin de contrat est fixé à
10 %
de votre
rémunération brute globale
perçue pendant la durée de votre contrat, renouvellement inclus.
La rémunération brute globale comprend le traitement indiciaire, le complément de traitement indiciaire, l’indemnité de résidence, le supplément familial de traitement et les primes et indemnités.
Elle ne comprend pas l’indemnité compensatrice de congés payés, ni les remboursements de frais professionnels.
L’indemnité de fin de contrat est soumise à l’ensemble des
cotisations et contributions sociales
. Elle est imposable sur le revenu.
L'indemnité est versée au plus tard 1 mois après la fin du contrat.
Vous avez droit à une indemnité de fin de contrat si votre
CDD
: titleContent
ne se poursuit pas par un
CDI
: titleContent
.
Le montant de l'indemnité est égale à
10 %
de votre rémunération totale brute perçue pendant votre CDD.
Elle est versée à la fin de votre CDD en même temps que votre dernier salaire et figure sur le bulletin de salaire correspondant.
Contrat à durée déterminée
Contrat de travail à durée indéterminée","1"
"Pourquoi les geocoders Google Maps Platform fournissent-ils des positions différentes de Google Maps ?","Le geocoder de l'API et celui de Google Maps utilisent parfois des ensembles de données différents (en fonction du pays). De nouvelles données sont parfois transmises au geocoder de l'API. Vous pouvez donc vous attendre à ce que les résultats soient modifiés ou améliorés au fil du temps.","0"
"Combien coûte l'abonnement premium au Google Developer Program ?","L'abonnement Premium est proposé à 299 USD par an. Pour en savoir plus, consultez la section Forfaits et tarifs .","0"
"Dans quel cas un agent public doit-il rembourser un trop-perçu de rémunération ?","Si l'administration vous verse à tort (ou
indûment
) une rémunération à laquelle vous n'avez pas droit ou une rémunération supérieure à celle à laquelle vous avez droit, elle vous en demande le remboursement.
Cette demande de remboursement doit intervenir dans un délai déterminé.
Le versement indu d'une rémunération peut résulter d'une
erreur matérielle de calcul
(ou
erreur de liquidation
) de votre rémunération.
Cela peut par exemple se produire en cas d'erreur de codification informatique de votre échelon et de l'indice majoré correspondant, qui sert de base au calcul de votre
traitement indiciaire
.
Le versement indu peut aussi résulter d'une
décision irrégulière devenue définitive
vous accordant une rémunération à laquelle vous n'avez en fait pas droit.
Une décision irrégulière devient définitive si elle n'a pas été retirée par l'administration dans les 4 mois suivant sa
notification
: titleContent
.
Cela peut par exemple se produire en cas de versement d'une
nouvelle bonification indiciaire (NBI)
alors que vous exercez des fonctions qui n'y donnent en fait pas droit.
Tous les éléments de rémunération versés à tort peuvent donner lieu à demande de remboursement :
Votre administration employeur peut récupérer les sommes qu'elle vous a indûment versées par prélèvement direct, c'est-à-dire en les déduisant directement sur votre rémunération, sans aucune forme de
notification
: titleContent
. C'est notamment le cas lorsqu'elle vous a versé un élément de rémunération suite à une erreur matérielle et qu'elle régularise la situation sur votre paie du mois suivant.
L'administration peut aussi récupérer les sommes qu'elle vous a indûment versées en émettant un
titre de recette
qui vous est notifié. Dans ce cas, c'est le comptable public qui se charge de récupérer les sommes que vous avez indument perçues.
Votre administration employeur émet un
titre de recette
qui comporte notamment les informations suivantes :
L’émission de ce titre de recette doit intervenir dans un délai précis.
Si ce délai n'est pas respecté, l'administration ne peut plus réclamer la rémunération qui vous a été indûment versée. Ce délai est appelé
délai de prescription d'assiette
.
Une fois le titre de recette émis, l'administration a 4 ans pour effectivement récupérer les sommes dues.
Au-delà de 4 ans, l'administration ne peut plus réclamer la rémunération indue. Ce délai de 4 ans est appelé
délai de prescription de recouvrement
.
Les rémunérations versées à tort peuvent donner lieu à demande de remboursement dans le délai de 2 ans à partir du 1
er
jour du mois suivant le mois du paiement erroné.
Il est d'usage de considérer que le paiement erroné est fixé au 30 de chaque mois et non pas à la date de mise en paiement de la rémunération figurant sur le bulletin de paye.
Aussi, le délai de prescription d'assiette commence à courir le 1
er
du mois suivant.
Passé ce délai de 2 ans, l'administration ne peut plus émettre de titre de recette.
Pour une somme versée à tort en mars 2024, le point de départ du délai de prescription est le 1
er
avril 2024. Il prend fin le 31 mars 2026. L'administration ne peut plus émettre de titre de recette à partir du 1
er
avril 2026.
Lorsque l'erreur de paiement se poursuit sur plusieurs mois, chaque paiement erroné constitue un nouveau point de départ du délai de prescription.
Vous êtes passé à temps partiel à partir du 1
er
janvier 2024 et votre administration a continué de vous rémunérer à temps plein de janvier 2024 à mars 2024. Le paiement erroné de janvier 2024 peut donner lieu à demande de remboursement jusqu'au 31 janvier 2026, le paiement erroné de février 2024 jusqu'au 28 février 2026, etc.
Le délai de prescription de 2 ans ne s'applique pas dans les 4 cas suivants :
Une fois le titre de recette émis, un
avis des sommes à payer
vous est adressé par courrier pour vous inviter à payer.
La récupération des sommes dues peut se faire par prélèvement direct sur votre rémunération.
Dans ce cas, le comptable public effectue une retenue sur votre paye sur 1 ou plusieurs mois selon la somme à récupérer.
La retenue ne peut pas dépasser la
portion saisissable
.
La récupération des sommes dues peut aussi se faire par l'émission d'un
titre exécutoire
: titleContent
.
Vous pouvez demander un report ou un échelonnement de votre dette au comptable public.
Vous pouvez adresser à votre administration employeur une demande de remise gracieuse en invoquant tout motif plaidant en votre faveur (situation de ressources, charges de famille, ...).
L'administration peut rejeter ou admettre dans sa totalité ou partiellement votre demande de remise gracieuse.
En cas d'acceptation, vous êtes ainsi dispensé de rembourser totalement ou partiellement les sommes indûment perçues.
Si vous contestez l'existence du paiement indu ou son montant, vous pouvez saisir le
tribunal administratif
.
Mais avant de saisir le tribunal administratif, vous devez adresser votre contestation au comptable public dont les coordonnées figurent sur l'avis des sommes à payer.
Votre courrier de contestation doit être accompagné des pièces ou justifications utiles.
Ce courrier doit être adressé au comptable public dans les 2 mois suivant la réception de l'avis des sommes à payer.
Le comptable public accuse réception de votre contestation.
Il la transmet à votre administration employeur qui dispose d'un délai pour répondre de 6 mois à partir de la date de réception de votre contestation par le comptable.
En l'absence de réponse de votre administration employeur à la fin de ce délai de 6 mois, votre contestation est considérée comme rejetée.
En cas de rejet de votre administration employeur, vous pouvez saisir le tribunal administratif dans les 2 mois.
Ce délai de 2 mois débute à partir de la date de
notification
: titleContent
de la décision de rejet ou à partir de la date de fin du délai de 6 mois.
Tant que le jugement du tribunal administratif n'est pas intervenu, l'administration ne peut pas exiger le remboursement de la somme qu'elle réclame.
Si l'administration a commis une faute par négligence, vous pouvez demander une indemnité en réparation du préjudice. Cela est, par exemple, le cas si elle a continué à verser, sur une longue période, une somme alors que vous étiez de bonne foi ou l'aviez informée que vous n'y aviez plus droit.
Formalité par laquelle un acte de procédure ou une décision est porté à la connaissance d’une personne
Écrit permettant au créancier d'obtenir le recouvrement forcé de sa créance","1"
